Customer,Restaurant,Food,Price 
Nicole Murphy,Brightdog,Jumbo Shrimp,29.1
Angela Hayes,Flashspan,Brunswick stew,29
Cynthia Fernandez,Igor's Vodka Shack,Steak with potatoes,44.67
Joe Carpenter,Burger Queen,Greek Salad,44.4
Peter Bryant,Edgeify,Jumbo Shrimp,20.94
Charles Hanson,Thoughtstorm,Kotlet mielony,50.36
Deborah Jordan,Thoughtstorm,Kotlet mielony,26.29
Evelyn Wheeler,Eare,Golabki,41.48
Bruce Andrews,Roomm,Kotlety,54.97
Anthony Reed,Linkbridge,Penne Vodka,59.28
Harry Ross,Divanoodle,Rolled Shrimp,55.23
David Richardson,Skilith,Hot Dog,27.57
Steven Fox,Gigaclub,Bookbinder Soup,19.18
Ashley Moreno,Voolith,Kotlet mielony,35.61
Joshua Riley,Youfeed,Cowboy Burger,51.29
Elizabeth Nichols,Meeveo,French Onion Soup,16.3
Michael Gordon,Yoveo,Bigos,22.42
Katherine Bryant,Quinu,Gyro,54.22
Fred West,Jabbersphere,Plain Lobster,54
Paula Grant,Yotz,Penne Vodka,16.8
Steve Gardner,Vidoo,Sushi Roll,33.35
Nicole James,Trilith,French Onion Soup,30.83
Matthew Snyder,Divavu,Greek Salad,52.26
Jack Willis,Piast,Rolled Shrimp,17.31
Paul Perkins,Bubblemix,Jumbo Shrimp,54.21
Laura Campbell,Smith's Grill,Rolled Shrimp,39.67
Bruce Andrews,Piast,Pierogi,27.25
Cheryl Murray,Fivechat,Pork Fried Rice,44.9
Nicholas Little,Linkbuzz,Sushi Roll,30.77
Jerry Reid,Feedfish,Bookbinder Soup,22.73
Anna Graham,Buzzshare,Curry Chicken,43.55
Helen Ruiz,Jabbersphere,Shrimp Scampi,48.06
